Test.ID,Valve.ID,Valve.Rev,Fluid,Time.Between.Actuations_hr,Plunger.Age,Coil.Age,Voltage,Seal.Type,Seal.Age,Response.Time_ms
STOT006,T1,Old,A,72,Old,Old,30,A,Old,51.2
STOT006,T1,Old,A,72,Old,Old,30,A,Old,42.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,36.8
STOT007,NV011,New,D,0,New,New,30,A,New,8.2
STOT007,NV011,New,D,0,New,New,30,A,New,5.6
STOT007,NV011,New,D,0,New,New,30,A,New,7.8
STOT007,NV011,New,D,0,New,New,30,A,New,9.8
STOT007,NV011,New,D,0,New,New,30,A,New,10
STOT007,NV011,New,D,0,New,New,30,A,New,7.2
STOT007,NV011,New,D,0,New,New,30,A,New,7.8
STOT007,NV011,New,D,0,New,New,30,A,New,7.8
STOT007,NV011,New,D,0,New,New,30,A,New,8
STOT007,NV011,New,D,0,New,New,30,A,New,10.4
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,8
STOT007,NV011,New,D,0,New,New,30,A,New,7.6
STOT007,NV011,New,D,0,New,New,30,A,New,7
STOT007,NV011,New,D,0,New,New,30,A,New,7.6
STOT007,NV011,New,D,0,New,New,30,A,New,7.6
STOT007,NV011,New,D,0,New,New,30,A,New,7.6
STOT007,NV011,New,D,0,New,New,30,A,New,10.2
STOT007,NV011,New,D,0,New,New,30,A,New,7.6
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,6.8
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,7.4
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,8.4
STOT007,NV011,New,D,0,New,New,30,A,New,8.2
STOT007,NV011,New,D,0,New,New,30,A,New,8.2
STOT007,NV011,New,D,0,New,New,30,A,New,8
STOT007,NV011,New,D,0,New,New,30,A,New,8.8
STOT008,NV012,New,C,0,New,New,30,A,New,7
STOT008,NV012,New,C,0,New,New,30,A,New,6
STOT008,NV012,New,C,0,New,New,30,A,New,6.4
STOT008,NV012,New,C,0,New,New,30,A,New,6
STOT008,NV012,New,C,0,New,New,30,A,New,6.2
STOT008,NV012,New,C,0,New,New,30,A,New,6.4
STOT008,NV012,New,C,0,New,New,30,A,New,7
STOT008,NV012,New,C,0,New,New,30,A,New,6.8
STOT008,NV012,New,C,0,New,New,30,A,New,6.8
STOT008,NV012,New,C,0,New,New,30,A,New,7.6
STOT008,NV012,New,C,0,New,New,30,A,New,7
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,7.2
STOT008,NV012,New,C,0,New,New,30,A,New,7.2
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,6.4
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,7.2
STOT008,NV012,New,C,0,New,New,30,A,New,6.8
STOT008,NV012,New,C,0,New,New,30,A,New,7
STOT008,NV012,New,C,0,New,New,30,A,New,7.2
STOT008,NV012,New,C,0,New,New,30,A,New,6.6
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,7
STOT008,NV012,New,C,0,New,New,30,A,New,7.4
STOT008,NV012,New,C,0,New,New,30,A,New,6.6
STOT008,NV012,New,C,0,New,New,30,A,New,6.4
STOT009,NV013,New,F,0,New,New,30,A,New,7
STOT009,NV013,New,F,0,New,New,30,A,New,13.8
STOT009,NV013,New,F,0,New,New,30,A,New,9.6
STOT009,NV013,New,F,0,New,New,30,A,New,7.4
STOT009,NV013,New,F,0,New,New,30,A,New,7.8
STOT009,NV013,New,F,0,New,New,30,A,New,7.6
STOT009,NV013,New,F,0,New,New,30,A,New,10
STOT009,NV013,New,F,0,New,New,30,A,New,7.6
STOT009,NV013,New,F,0,New,New,30,A,New,7.6
STOT009,NV013,New,F,0,New,New,30,A,New,10.6
STOT009,NV013,New,F,0,New,New,30,A,New,8.8
STOT009,NV013,New,F,0,New,New,30,A,New,8.2
STOT009,NV013,New,F,0,New,New,30,A,New,8.4
STOT009,NV013,New,F,0,New,New,30,A,New,9
STOT009,NV013,New,F,0,New,New,30,A,New,7.6
STOT009,NV013,New,F,0,New,New,30,A,New,7.2
STOT009,NV013,New,F,0,New,New,30,A,New,11
STOT009,NV013,New,F,0,New,New,30,A,New,10
STOT009,NV013,New,F,0,New,New,30,A,New,9.2
STOT009,NV013,New,F,0,New,New,30,A,New,10
STOT009,NV013,New,F,0,New,New,30,A,New,9
STOT009,NV013,New,F,0,New,New,30,A,New,9
STOT009,NV013,New,F,0,New,New,30,A,New,7.6
STOT009,NV013,New,F,0,New,New,30,A,New,8.6
STOT009,NV013,New,F,0,New,New,30,A,New,9.2
STOT009,NV013,New,F,0,New,New,30,A,New,8.4
STOT009,NV013,New,F,0,New,New,30,A,New,8.4
STOT009,NV013,New,F,0,New,New,30,A,New,9.8
STOT009,NV013,New,F,0,New,New,30,A,New,10.6
STOT009,NV013,New,F,0,New,New,30,A,New,9.6
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,7.4
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,8
STOT010,NV014,New,B,0,New,New,30,A,New,7.6
STOT010,NV014,New,B,0,New,New,30,A,New,8
STOT010,NV014,New,B,0,New,New,30,A,New,7.6
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,8.4
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7.6
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7.2
STOT010,NV014,New,B,0,New,New,30,A,New,7.4
STOT010,NV014,New,B,0,New,New,30,A,New,7.4
STOT010,NV014,New,B,0,New,New,30,A,New,7.6
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,8
STOT010,NV014,New,B,0,New,New,30,A,New,7
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT010,NV014,New,B,0,New,New,30,A,New,7.6
STOT010,NV014,New,B,0,New,New,30,A,New,8.2
STOT010,NV014,New,B,0,New,New,30,A,New,8.2
STOT010,NV014,New,B,0,New,New,30,A,New,8.2
STOT010,NV014,New,B,0,New,New,30,A,New,7.8
STOT011,NV015,New,A,0,New,New,30,A,New,7.4
STOT011,NV015,New,A,0,New,New,30,A,New,8
STOT011,NV015,New,A,0,New,New,30,A,New,6
STOT011,NV015,New,A,0,New,New,30,A,New,7
STOT011,NV015,New,A,0,New,New,30,A,New,7.4
STOT011,NV015,New,A,0,New,New,30,A,New,8.2
STOT011,NV015,New,A,0,New,New,30,A,New,7.6
STOT011,NV015,New,A,0,New,New,30,A,New,8.6
STOT011,NV015,New,A,0,New,New,30,A,New,6.6
STOT011,NV015,New,A,0,New,New,30,A,New,7.6
STOT011,NV015,New,A,0,New,New,30,A,New,9
STOT011,NV015,New,A,0,New,New,30,A,New,9
STOT011,NV015,New,A,0,New,New,30,A,New,7.2
STOT011,NV015,New,A,0,New,New,30,A,New,7.4
STOT011,NV015,New,A,0,New,New,30,A,New,8.4
STOT011,NV015,New,A,0,New,New,30,A,New,8.2
STOT011,NV015,New,A,0,New,New,30,A,New,8.4
STOT011,NV015,New,A,0,New,New,30,A,New,9
STOT011,NV015,New,A,0,New,New,30,A,New,8.4
STOT011,NV015,New,A,0,New,New,30,A,New,7
STOT011,NV015,New,A,0,New,New,30,A,New,6.6
STOT011,NV015,New,A,0,New,New,30,A,New,7.4
STOT011,NV015,New,A,0,New,New,30,A,New,7
STOT011,NV015,New,A,0,New,New,30,A,New,7.8
STOT011,NV015,New,A,0,New,New,30,A,New,8.6
STOT011,NV015,New,A,0,New,New,30,A,New,8.6
STOT011,NV015,New,A,0,New,New,30,A,New,8.4
STOT011,NV015,New,A,0,New,New,30,A,New,7.8
STOT011,NV015,New,A,0,New,New,30,A,New,7.4
STOT011,NV015,New,A,0,New,New,30,A,New,7
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,17.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,16.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,16
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.8
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.4
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14
STOT012,T1,Old,E,0,Old,Old,30,A,Old,13.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14
STOT012,T1,Old,E,0,Old,Old,30,A,Old,13.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,13.8
STOT012,T1,Old,E,0,Old,Old,30,A,Old,16.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,12.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,13.8
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14.6
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.2
STOT012,T1,Old,E,0,Old,Old,30,A,Old,14
STOT012,T1,Old,E,0,Old,Old,30,A,Old,15.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,9
STOT013,T1,Old,E,0,Old,Old,30,A,Old,11
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.2
STOT013,T1,Old,E,0,Old,Old,30,A,Old,11.8
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13.2
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.8
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,14.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,14
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13.2
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,10.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.8
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13
STOT013,T1,Old,E,0,Old,Old,30,A,Old,13
STOT013,T1,Old,E,0,Old,Old,30,A,Old,11.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.4
STOT013,T1,Old,E,0,Old,Old,30,A,Old,11.6
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.2
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.2
STOT013,T1,Old,E,0,Old,Old,30,A,Old,12.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,44
STOT014,T1,Old,E,72,Old,Old,30,A,Old,19.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,37.2
